-7.98068514	-5.0076978	1.81678
-2.97425535	-5.43998656	2.68507
-3.74504527	-2.74991354	0.54066
-7.37450347	-2.85549746	7.95618
-3.65108203	-3.34940861	6.18165
-2.21917311	-4.35111034	6.68754
-2.02584819	-3.80920149	0.44977
-3.77698424	-3.37839951	8.83099
-9.75541148	-5.53963474	5.11777
7.31747227	-4.70057896	1.90818
-1.99185865	-3.75498533	8.40614
-7.64883905	-4.53721709	1.31652
-1.99217044	-4.65841295	7.50361
9.12919994	-6.9076041	7.20804
9.37747541	-4.49455633	9.14631
-8.38723752	-3.83469363	9.50469
-3.65829888	-4.54847012	3.03536
-1.09772641	-2.91910505	8.51007
-9.70749996	-4.40628215	9.90171
-3.56515658	-5.01935484	7.13229
-1.98664886	-3.75474257	4.77941
9.27940272	-6.89744064	5.76667
-1.15877092	-4.92416076	9.17963
-3.1760484	-3.01643093	2.39681
-3.01827785	-4.79211559	7.90187
-8.83183879	-4.95866777	3.71823
7.41751356	-6.71452192	4.31301
-7.04702208	-4.87438047	2.73188
-7.83805845	-5.06858946	6.30541
-1.92340036	-4.78672733	4.27842
8.46412313	-4.91050466	0.86073
-1.93860524	-2.6582142	8.2192
-2.73069127	-3.34645928	9.41639
9.09604237	-6.42224007	7.63056
7.11480727	-4.78883662	7.11304
-1.05214291	-3.94681175	3.32064
-8.21272335	-5.14278297	8.98264
-7.46637029	-5.46413733	8.16378
-2.62960442	-3.7402301	5.23789
7.44952781	-5.50598486	8.6229
-9.30662342	-4.53159115	1.56599
-9.6581864	-4.85889886	7.37693
8.62998247	-5.49814862	5.94448
-7.87055458	-2.83767507	2.16054
-7.782108	-5.09301376	3.81098
-3.78551065	-2.71452212	0.99099
9.23204676	-6.02583811	8.68581
7.57453815	-5.81799703	5.67906
-9.77455071	-5.7835035	9.65143
-9.65517383	-3.47821068	0.98906
-8.18275837	-3.62457444	7.21024
-1.2835996	-3.58692375	5.16744
8.21172599	-5.52221459	9.96338
8.70355749	-4.44133515	6.83263
9.3829498	-6.19963499	2.14402
7.17557503	-7.02944619	6.64999
8.22209506	-5.17839902	2.85325
8.14029673	-6.92892654	6.06724
